1408,GLLBaseLine,accept,1495,2020,12340,171,225,66,2058,10285,0Crowbarred
14357,GLLBaseLine,accept,29587,40203,1442114,2275,1666,254,47316,1402480,0Crowbarred
14357,GLLBaseLine,accept,29587,40203,1442114,2275,1666,254,47316,1402480,0Crowbarred
682,GLLBaseLine,accept,1385,2372,17421,104,117,45,2212,15088,0Crowbarred
682,GLLBaseLine,accept,1385,2372,17421,104,117,45,2212,15088,0Crowbarred
586,GLLBaseLine,accept,1236,1824,11768,116,108,36,1620,9730,0Crowbarred
586,GLLBaseLine,accept,1236,1824,11768,116,108,36,1620,9730,0Crowbarred
2199,GLLBaseLine,accept,1673,1614,12687,280,304,169,1492,10632,0Crowbarred
2199,GLLBaseLine,accept,1673,1614,12687,280,304,169,1492,10632,0Crowbarred
1863,GLLBaseLine,accept,1755,1714,11238,269,257,57,1612,8931,0Crowbarred
1863,GLLBaseLine,accept,1755,1714,11238,269,257,57,1612,8931,0Crowbarred
1870,GLLBaseLine,accept,2837,4061,42418,260,353,68,4374,38877,0Crowbarred
1870,GLLBaseLine,accept,2837,4061,42418,260,353,68,4374,38877,0Crowbarred
1843,GLLBaseLine,accept,2828,4058,42406,256,354,68,4374,38877,0Crowbarred
1843,GLLBaseLine,accept,2828,4058,42406,256,354,68,4374,38877,0Crowbarred
2074,GLLBaseLine,accept,3055,4165,42753,313,394,68,4374,38877,0Crowbarred
2074,GLLBaseLine,accept,3055,4165,42753,313,394,68,4374,38877,0Crowbarred
2088,GLLBaseLine,accept,3080,4179,42792,315,406,68,4374,38877,0Crowbarred
2088,GLLBaseLine,accept,3080,4179,42792,315,406,68,4374,38877,0Crowbarred
2073,GLLBaseLine,accept,3264,4702,51845,300,371,82,5122,47805,0Crowbarred
2073,GLLBaseLine,accept,3264,4702,51845,300,371,82,5122,47805,0Crowbarred
2085,GLLBaseLine,accept,3190,4495,48222,301,378,81,4882,44269,0Crowbarred
2085,GLLBaseLine,accept,3190,4495,48222,301,378,81,4882,44269,0Crowbarred
2074,GLLBaseLine,accept,3176,4486,48199,300,370,81,4882,44269,0Crowbarred
2074,GLLBaseLine,accept,3176,4486,48199,300,370,81,4882,44269,0Crowbarred
2016,GLLBaseLine,accept,3046,4238,44720,285,365,80,4638,40971,0Crowbarred
2016,GLLBaseLine,accept,3046,4238,44720,285,365,80,4638,40971,0Crowbarred
2797,GLLBaseLine,accept,1823,1643,17835,252,218,171,1990,16181,0Crowbarred
2797,GLLBaseLine,accept,1823,1643,17835,252,218,171,1990,16181,0Crowbarred
3530,GLLBaseLine,accept,2970,2509,20789,463,430,120,2520,17493,0Crowbarred
3530,GLLBaseLine,accept,2970,2509,20789,463,430,120,2520,17493,0Crowbarred
4774,GLLBaseLine,accept,5366,5315,26757,770,950,160,3838,18454,0Crowbarred
4774,GLLBaseLine,accept,5366,5315,26757,770,950,160,3838,18454,0Crowbarred
13335,GLLBaseLine,accept,28818,36935,876500,2390,2479,348,42065,841791,0Crowbarred
13335,GLLBaseLine,accept,28818,36935,876500,2390,2479,348,42065,841791,0Crowbarred
2436,GLLBaseLine,accept,7073,12556,196501,301,350,105,12371,185248,0Crowbarred
2436,GLLBaseLine,accept,7073,12556,196501,301,350,105,12371,185248,0Crowbarred
4143,GLLBaseLine,accept,10721,15598,326771,668,720,165,18455,314661,0Crowbarred
4143,GLLBaseLine,accept,10721,15598,326771,668,720,165,18455,314661,0Crowbarred
6530,GLLBaseLine,accept,6358,9462,139606,536,455,185,9211,131608,0Crowbarred
6530,GLLBaseLine,accept,6358,9462,139606,536,455,185,9211,131608,0Crowbarred
3109,GLLBaseLine,accept,2306,2282,24611,312,341,204,2460,22061,0Crowbarred
3109,GLLBaseLine,accept,2306,2282,24611,312,341,204,2460,22061,0Crowbarred
5054,GLLBaseLine,accept,4095,3468,30974,586,613,148,3530,26488,0Crowbarred
5054,GLLBaseLine,accept,4095,3468,30974,586,613,148,3530,26488,0Crowbarred
883,GLLBaseLine,accept,906,882,10309,82,82,80,1416,9853,0Crowbarred
883,GLLBaseLine,accept,906,882,10309,82,82,80,1416,9853,0Crowbarred
3928,GLLBaseLine,accept,2527,2312,17955,448,536,210,2358,15240,0Crowbarred
3928,GLLBaseLine,accept,2527,2312,17955,448,536,210,2358,15240,0Crowbarred
3595,GLLBaseLine,accept,2484,1762,16959,343,252,72,2268,14242,0Crowbarred
3595,GLLBaseLine,accept,2484,1762,16959,343,252,72,2268,14242,0Crowbarred
2865,GLLBaseLine,accept,6611,10453,182349,396,481,137,12146,174739,0Crowbarred
2865,GLLBaseLine,accept,6611,10453,182349,396,481,137,12146,174739,0Crowbarred
12627,GLLBaseLine,accept,14771,10730,200848,1788,1848,197,13064,183732,0Crowbarred
12627,GLLBaseLine,accept,14771,10730,200848,1788,1848,197,13064,183732,0Crowbarred
13688,GLLBaseLine,accept,22011,25877,668118,2082,2090,236,29556,642108,0Crowbarred
13688,GLLBaseLine,accept,22011,25877,668118,2082,2090,236,29556,642108,0Crowbarred
4917,GLLBaseLine,accept,6884,8525,93661,772,787,191,7519,83189,0Crowbarred
4917,GLLBaseLine,accept,6884,8525,93661,772,787,191,7519,83189,0Crowbarred
4617,GLLBaseLine,accept,4221,4297,30448,604,580,113,3418,24198,0Crowbarred
4617,GLLBaseLine,accept,4221,4297,30448,604,580,113,3418,24198,0Crowbarred
12551,GLLBaseLine,accept,12691,9767,126879,1758,1844,363,10599,112351,0Crowbarred
12551,GLLBaseLine,accept,12691,9767,126879,1758,1844,363,10599,112351,0Crowbarred
4330,GLLBaseLine,accept,16910,33000,775601,603,583,193,32265,747394,0Crowbarred
4330,GLLBaseLine,accept,16910,33000,775601,603,583,193,32265,747394,0Crowbarred
9685,GLLBaseLine,accept,12492,11909,328624,937,782,569,18335,319846,0Crowbarred
9685,GLLBaseLine,accept,12492,11909,328624,937,782,569,18335,319846,0Crowbarred
32653,GLLBaseLine,accept,25342,15576,92852,5272,5681,674,7678,57410,0Crowbarred
32653,GLLBaseLine,accept,25342,15576,92852,5272,5681,674,7678,57410,0Crowbarred
6354,GLLBaseLine,accept,9813,9814,377797,578,569,370,16780,374541,0Crowbarred
6354,GLLBaseLine,accept,9813,9814,377797,578,569,370,16780,374541,0Crowbarred
5111,GLLBaseLine,accept,4349,3012,15145,785,865,126,1841,8910,0Crowbarred
5111,GLLBaseLine,accept,4349,3012,15145,785,865,126,1841,8910,0Crowbarred
4367,GLLBaseLine,accept,3459,3380,35431,465,471,361,4258,32408,0Crowbarred
4367,GLLBaseLine,accept,3459,3380,35431,465,471,361,4258,32408,0Crowbarred
2178,GLLBaseLine,accept,1300,1251,14146,161,155,124,1732,13213,0Crowbarred
2178,GLLBaseLine,accept,1300,1251,14146,161,155,124,1732,13213,0Crowbarred
3786,GLLBaseLine,accept,10571,15519,326369,639,687,164,18386,314443,0Crowbarred
3786,GLLBaseLine,accept,10571,15519,326369,639,687,164,18386,314443,0Crowbarred
22707,GLLBaseLine,accept,20659,18579,217492,4385,2594,537,14474,188100,0Crowbarred
22707,GLLBaseLine,accept,20659,18579,217492,4385,2594,537,14474,188100,0Crowbarred
5121,GLLBaseLine,accept,3732,3756,48715,468,434,283,3916,43628,0Crowbarred
5121,GLLBaseLine,accept,3732,3756,48715,468,434,283,3916,43628,0Crowbarred
14502,GLLBaseLine,accept,6970,4400,27476,1285,1567,227,2680,18474,0Crowbarred
14502,GLLBaseLine,accept,6970,4400,27476,1285,1567,227,2680,18474,0Crowbarred
20054,GLLBaseLine,accept,36461,37126,2727210,1660,1622,945,63372,2714383,0Crowbarred
20054,GLLBaseLine,accept,36461,37126,2727210,1660,1622,945,63372,2714383,0Crowbarred
4607,GLLBaseLine,accept,9295,12501,139319,1008,753,218,13290,127414,0Crowbarred
4607,GLLBaseLine,accept,9295,12501,139319,1008,753,218,13290,127414,0Crowbarred
5176,GLLBaseLine,accept,14891,23664,577500,917,855,227,27374,560246,0Crowbarred
5176,GLLBaseLine,accept,14891,23664,577500,917,855,227,27374,560246,0Crowbarred
5015,GLLBaseLine,accept,5399,5331,26814,783,949,160,3838,18454,0Crowbarred
5015,GLLBaseLine,accept,5399,5331,26814,783,949,160,3838,18454,0Crowbarred
5683,GLLBaseLine,accept,16775,24003,690458,977,1079,209,29674,672540,0Crowbarred
5683,GLLBaseLine,accept,16775,24003,690458,977,1079,209,29674,672540,0Crowbarred
8364,GLLBaseLine,accept,29333,48522,1772711,1348,1411,331,57838,1740261,0Crowbarred
8364,GLLBaseLine,accept,29333,48522,1772711,1348,1411,331,57838,1740261,0Crowbarred
4032,GLLBaseLine,accept,10146,14444,283805,668,711,168,17035,272284,0Crowbarred
4032,GLLBaseLine,accept,10146,14444,283805,668,711,168,17035,272284,0Crowbarred
3237,GLLBaseLine,accept,4193,2929,17924,703,465,160,3124,12710,0Crowbarred
3237,GLLBaseLine,accept,4193,2929,17924,703,465,160,3124,12710,0Crowbarred
19570,GLLBaseLine,accept,10870,11476,112061,1662,1726,1126,9955,95569,0Crowbarred
19570,GLLBaseLine,accept,10870,11476,112061,1662,1726,1126,9955,95569,0Crowbarred
2149,GLLBaseLine,accept,1843,1828,18083,279,341,106,2039,16251,0Crowbarred
2149,GLLBaseLine,accept,1843,1828,18083,279,341,106,2039,16251,0Crowbarred
35364,GLLBaseLine,accept,9074,5748,38697,1454,2006,235,4156,27315,0Crowbarred
35364,GLLBaseLine,accept,9074,5748,38697,1454,2006,235,4156,27315,0Crowbarred
12024,GLLBaseLine,accept,6883,5226,26086,1244,1694,307,2280,13954,0Crowbarred
12024,GLLBaseLine,accept,6883,5226,26086,1244,1694,307,2280,13954,0Crowbarred
84488,GLLBaseLine,accept,80575,59003,2045118,9775,14565,947,65479,1953273,0Crowbarred
84488,GLLBaseLine,accept,80575,59003,2045118,9775,14565,947,65479,1953273,0Crowbarred
22906,GLLBaseLine,accept,21305,16537,368968,2351,3205,451,20969,346510,0Crowbarred
22906,GLLBaseLine,accept,21305,16537,368968,2351,3205,451,20969,346510,0Crowbarred
12199,GLLBaseLine,accept,14099,8820,77891,2380,2819,200,6190,58738,0Crowbarred
12199,GLLBaseLine,accept,14099,8820,77891,2380,2819,200,6190,58738,0Crowbarred
15311,GLLBaseLine,accept,11580,9399,137256,1579,2151,229,10624,123992,0Crowbarred
15311,GLLBaseLine,accept,11580,9399,137256,1579,2151,229,10624,123992,0Crowbarred
12664,GLLBaseLine,accept,11218,7238,70514,1954,1935,312,6368,56292,0Crowbarred
12664,GLLBaseLine,accept,11218,7238,70514,1954,1935,312,6368,56292,0Crowbarred
7800,GLLBaseLine,accept,4740,3511,16234,891,967,183,2260,9544,0Crowbarred
7800,GLLBaseLine,accept,4740,3511,16234,891,967,183,2260,9544,0Crowbarred
16463,GLLBaseLine,accept,9244,9413,62935,1612,1814,356,6462,49410,0Crowbarred
16463,GLLBaseLine,accept,9244,9413,62935,1612,1814,356,6462,49410,0Crowbarred
58931,GLLBaseLine,accept,40803,29946,481720,6377,7045,1323,30952,435189,0Crowbarred
58931,GLLBaseLine,accept,40803,29946,481720,6377,7045,1323,30952,435189,0Crowbarred
19838,GLLBaseLine,accept,8299,9637,57626,1502,1820,265,6709,44620,0Crowbarred
19838,GLLBaseLine,accept,8299,9637,57626,1502,1820,265,6709,44620,0Crowbarred
9897,GLLBaseLine,accept,5253,5554,36585,872,1079,186,3929,29010,0Crowbarred
9897,GLLBaseLine,accept,5253,5554,36585,872,1079,186,3929,29010,0Crowbarred
33430,GLLBaseLine,accept,15637,10915,36099,3275,4076,451,3410,11755,0Crowbarred
33430,GLLBaseLine,accept,15637,10915,36099,3275,4076,451,3410,11755,0Crowbarred
9292,GLLBaseLine,accept,5511,4202,26791,1264,1075,156,2931,18918,0Crowbarred
9292,GLLBaseLine,accept,5511,4202,26791,1264,1075,156,2931,18918,0Crowbarred
17756,GLLBaseLine,accept,11338,11198,135766,1725,2152,369,9381,121518,0Crowbarred
17756,GLLBaseLine,accept,11338,11198,135766,1725,2152,369,9381,121518,0Crowbarred
12501,GLLBaseLine,accept,8346,5453,42479,1354,1757,255,4559,31943,0Crowbarred
12501,GLLBaseLine,accept,8346,5453,42479,1354,1757,255,4559,31943,0Crowbarred
7178,GLLBaseLine,accept,3865,2657,13708,753,802,156,1906,8450,0Crowbarred
7178,GLLBaseLine,accept,3865,2657,13708,753,802,156,1906,8450,0Crowbarred
84628,GLLBaseLine,accept,54228,36461,328104,9795,10651,2016,26798,259425,0Crowbarred
84628,GLLBaseLine,accept,54228,36461,328104,9795,10651,2016,26798,259425,0Crowbarred
12711,GLLBaseLine,accept,7264,5092,27232,1611,1559,225,2988,16790,0Crowbarred
12711,GLLBaseLine,accept,7264,5092,27232,1611,1559,225,2988,16790,0Crowbarred
10394,GLLBaseLine,accept,6150,4248,24611,1126,1570,175,2893,16292,0Crowbarred
10394,GLLBaseLine,accept,6150,4248,24611,1126,1570,175,2893,16292,0Crowbarred
10264,GLLBaseLine,accept,6617,4757,25217,1288,1533,192,2945,15736,0Crowbarred
10264,GLLBaseLine,accept,6617,4757,25217,1288,1533,192,2945,15736,0Crowbarred
5789,GLLBaseLine,accept,2921,2961,12996,533,665,136,1911,8589,0Crowbarred
5789,GLLBaseLine,accept,2921,2961,12996,533,665,136,1911,8589,0Crowbarred
25500,GLLBaseLine,accept,17135,11171,80043,3343,3341,585,8098,58103,0Crowbarred
25500,GLLBaseLine,accept,17135,11171,80043,3343,3341,585,8098,58103,0Crowbarred
28058,GLLBaseLine,accept,13137,9553,41750,2565,2899,515,5400,22807,0Crowbarred
28058,GLLBaseLine,accept,13137,9553,41750,2565,2899,515,5400,22807,0Crowbarred
8545,GLLBaseLine,accept,5967,4085,27639,1133,1200,222,3190,19669,0Crowbarred
8545,GLLBaseLine,accept,5967,4085,27639,1133,1200,222,3190,19669,0Crowbarred
7049,GLLBaseLine,accept,5364,3468,20391,1001,1096,191,2462,13146,0Crowbarred
7049,GLLBaseLine,accept,5364,3468,20391,1001,1096,191,2462,13146,0Crowbarred
3549,GLLBaseLine,accept,2766,2110,17278,334,386,135,2770,14293,0Crowbarred
