1422,GLLBaseLine,accept,836,651,1935,186,202,82,1166,1600,0,736,458,1241,186,202,37,0,0,643,117.852
379,GLLBaseLine,accept,268,180,519,75,50,7,270,379,0,262,150,435,75,50,5,0,0,189,13.853
520,GLLBaseLine,accept,191,190,455,49,63,22,220,255,0,181,175,404,49,63,16,0,0,64,5.129
753,GLLBaseLine,accept,216,217,766,52,54,33,2188,3161,0,163,151,337,52,54,19,0,0,952,262.175
182,GLLBaseLine,accept,68,70,191,14,17,13,310,377,0,59,53,130,14,17,7,0,0,89,8.430
215,GLLBaseLine,accept,133,154,430,26,36,18,285,418,0,109,82,207,26,36,8,0,0,184,15.258
296,GLLBaseLine,accept,125,112,297,29,36,23,476,583,0,108,88,201,29,36,15,0,0,141,15.785
3586,GLLBaseLine,accept,2726,1773,6470,558,577,88,1595,4010,0,2637,1509,4584,558,577,44,0,0,2230,666.596
1088,GLLBaseLine,accept,467,336,1217,85,91,47,1088,1564,0,374,217,605,85,91,23,0,0,540,81.026
581,GLLBaseLine,accept,552,309,1053,96,113,7,44,54,0,547,301,1023,96,113,3,0,0,23,1.173
2615,GLLBaseLine,accept,1900,1163,4299,447,418,74,2279,4480,0,1733,949,2830,447,418,32,0,0,2224,778.068
379,GLLBaseLine,accept,155,135,357,33,44,26,637,788,0,139,112,264,33,44,18,0,0,174,23.210
597,GLLBaseLine,accept,193,186,632,48,50,32,1908,2725,0,159,139,312,48,50,19,0,0,749,160.830
961,GLLBaseLine,accept,435,395,1720,96,89,61,3510,5973,0,401,329,937,96,89,43,0,0,1884,767.940
509,GLLBaseLine,accept,140,138,366,39,40,23,1187,1530,0,124,114,251,39,40,14,0,0,393,60.642
3021,GLLBaseLine,accept,1966,1283,3842,536,482,43,3049,4610,0,1864,1126,3077,536,482,18,0,0,1815,653.111
473,GLLBaseLine,accept,147,151,406,47,51,32,438,578,0,135,126,273,47,51,23,0,0,151,16.339
584,GLLBaseLine,accept,1024,989,3840,159,302,18,1372,5048,0,973,732,2002,159,302,17,0,0,3162,844.266
522,GLLBaseLine,accept,308,295,1283,45,61,21,596,1792,0,268,189,521,45,61,15,0,0,942,121.876
212,GLLBaseLine,accept,88,89,285,20,25,19,526,691,0,63,53,118,20,25,10,0,0,181,20.886
361,GLLBaseLine,accept,221,134,448,47,38,11,246,426,0,204,94,309,47,38,4,0,0,228,13.668
412,GLLBaseLine,accept,449,707,3829,32,66,30,1895,6524,0,279,287,738,32,66,23,0,0,4070,1641.110
131,GLLBaseLine,accept,40,41,107,9,13,11,182,209,0,34,28,65,9,13,6,0,0,48,3.644
266,GLLBaseLine,accept,127,97,305,23,21,19,606,740,0,118,78,228,23,21,12,0,0,165,22.677
72,GLLBaseLine,accept,28,28,70,5,9,7,86,96,0,24,19,46,5,9,4,0,0,26,1.494
290,GLLBaseLine,accept,95,95,271,25,29,18,525,664,0,86,75,179,25,29,10,0,0,155,18.092
1814,GLLBaseLine,accept,310,397,747,168,173,50,1894,2056,0,302,380,687,168,173,44,0,0,384,111.325
1186,GLLBaseLine,accept,328,345,1082,96,109,52,3533,5406,0,276,278,579,96,109,37,0,0,1566,495.719
353,GLLBaseLine,accept,290,182,559,65,72,9,504,829,0,276,146,431,65,72,5,0,0,431,36.695
592,GLLBaseLine,accept,386,233,720,84,91,18,391,594,0,363,188,561,84,91,8,0,0,302,23.974
1241,GLLBaseLine,accept,716,519,1711,157,197,19,1925,4504,0,638,377,1034,157,197,9,0,0,2532,724.678
1092,GLLBaseLine,accept,681,480,1638,145,170,19,2513,5896,0,644,364,1072,145,170,10,0,0,3311,1221.188
770,GLLBaseLine,accept,517,351,1230,105,109,17,1904,4265,0,480,251,777,105,109,8,0,0,2306,633.168
616,GLLBaseLine,accept,419,261,826,88,97,20,517,863,0,391,205,615,88,97,9,0,0,450,45.117
434,GLLBaseLine,accept,342,267,971,62,67,17,1176,2526,0,303,166,511,62,67,9,0,0,1342,259.985
3441,GLLBaseLine,accept,995,544,2032,177,189,29,911,2104,0,942,415,1412,177,189,14,0,0,1144,180.483
516,GLLBaseLine,accept,217,183,727,42,37,35,1718,2483,0,190,137,383,42,37,21,0,0,689,138.334
1747,GLLBaseLine,accept,667,696,2051,180,205,93,2942,4748,0,582,596,1375,180,205,77,0,0,1568,520.544
160,GLLBaseLine,accept,138,99,301,24,35,6,189,319,0,129,71,209,24,35,5,0,0,166,10.797
5029,GLLBaseLine,accept,4127,2445,10240,786,940,172,3044,6913,0,3853,2025,6414,786,940,77,0,0,3485,1943.894
4015,GLLBaseLine,accept,2898,1764,7810,547,644,125,1956,4839,0,2575,1374,4174,547,644,62,0,0,2691,966.744
1065,GLLBaseLine,accept,434,433,1612,106,148,30,2670,4346,0,352,331,727,106,148,13,0,0,1387,484.672
266,GLLBaseLine,accept,135,113,374,29,25,15,1110,1487,0,111,78,210,29,25,6,0,0,375,58.469
522,GLLBaseLine,accept,196,166,411,45,54,22,221,253,0,190,153,369,45,54,17,0,0,60,5.289
2428,GLLBaseLine,accept,1548,1302,5274,290,278,72,1695,5134,0,1481,1065,3147,290,278,38,0,0,2948,1008.863
389,GLLBaseLine,accept,284,297,1076,44,42,26,776,1496,0,204,127,351,44,42,16,0,0,761,91.209
610,GLLBaseLine,accept,207,209,909,49,47,32,2046,3124,0,145,127,291,49,47,17,0,0,945,245.574
557,GLLBaseLine,accept,267,257,1246,45,55,45,2086,3433,0,216,176,448,45,55,28,0,0,1135,313.166
200,GLLBaseLine,accept,82,82,214,19,24,15,310,377,0,71,65,150,19,24,8,0,0,91,9.575
624,GLLBaseLine,accept,259,254,925,59,67,42,1990,2905,0,189,168,373,59,67,28,0,0,844,204.018
265,GLLBaseLine,accept,82,88,206,24,34,11,373,438,0,76,75,164,24,34,6,0,0,95,11.382
1983,GLLBaseLine,accept,1488,1575,5495,120,119,59,2748,6011,0,1379,1291,3436,120,119,56,0,0,3062,1327.209
398,GLLBaseLine,accept,133,124,347,34,35,15,948,1210,0,119,101,257,34,35,8,0,0,294,43.220
98,GLLBaseLine,accept,29,28,71,6,10,6,69,78,0,22,18,41,6,10,2,0,0,30,1.290
76,GLLBaseLine,accept,24,21,54,6,7,4,45,53,0,22,15,39,6,7,3,0,0,26,1.052
303,GLLBaseLine,accept,69,79,256,18,23,13,462,610,0,54,50,114,18,23,4,0,0,158,16.839
411,GLLBaseLine,accept,176,205,636,33,41,25,457,765,0,125,100,246,33,41,9,0,0,351,51.368
5639,GLLBaseLine,accept,2762,1525,4834,583,642,71,3111,4411,0,2632,1311,4005,583,642,30,0,0,1690,627.049
3445,GLLBaseLine,accept,2332,1568,5439,578,393,95,3365,5644,0,2077,1149,3392,578,393,44,0,0,2558,1005.951
2733,GLLBaseLine,accept,1521,929,3008,367,282,58,2072,3014,0,1389,718,2184,367,282,23,0,0,1329,336.570
