tool,script,language,grammar,string,tokens,algorithm,result,Runs,TParseMin,TParseMax,TParseMean,TParseBestFiveMean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyTableIndexedPool,accept,30,23.162,30.674,27.6,25.578,***,23.162,25.296,26.101,26.656,26.675,26.71,26.88,27.035,27.278,27.332,27.423,27.497,27.5,27.538,27.546,27.596,27.871,27.994,28.007,28.023,28.068,28.118,28.155,28.218,28.262,28.566,28.774,28.993,30.052,30.674
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.020,20,ARTEarleyTableIndexedPool (C),accept,30,0.237,0.276,0.253,0.241,***,0.237,0.241,0.243,0.243,0.243,0.244,0.245,0.245,0.245,0.245,0.246,0.247,0.248,0.249,0.25,0.25,0.252,0.252,0.253,0.254,0.255,0.261,0.263,0.264,0.264,0.265,0.271,0.272,0.274,0.276
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyIndexedPool,accept,30,12.768,13.787,13.172,12.899,***,12.768,12.925,12.926,12.929,12.946,12.954,12.975,13.044,13.068,13.076,13.087,13.112,13.113,13.138,13.139,13.162,13.19,13.191,13.202,13.212,13.232,13.252,13.254,13.257,13.299,13.358,13.367,13.539,13.644,13.787
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyIndexedPool (C),accept,30,2.927,3.14,2.999,2.935,***,2.927,2.932,2.938,2.938,2.939,2.939,2.941,2.955,2.957,2.959,2.96,2.966,2.969,2.971,2.992,2.996,3.001,3.004,3.008,3.012,3.018,3.033,3.036,3.053,3.062,3.069,3.081,3.088,3.091,3.14
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyTableIndexedPool,accept,30,36.758,38.718,37.82,37.039,***,36.758,37.041,37.085,37.146,37.165,37.166,37.19,37.228,37.243,37.267,37.748,37.775,37.838,37.863,37.878,37.963,37.972,38.026,38.144,38.147,38.161,38.174,38.176,38.238,38.302,38.416,38.55,38.6,38.621,38.718
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.030,30,ARTEarleyTableIndexedPool (C),accept,30,0.584,0.639,0.609,0.589,***,0.584,0.584,0.59,0.593,0.594,0.597,0.598,0.599,0.599,0.603,0.603,0.606,0.606,0.609,0.609,0.61,0.61,0.61,0.611,0.611,0.612,0.615,0.616,0.618,0.621,0.623,0.624,0.629,0.634,0.639
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyIndexedPool,accept,30,21.975,23.307,22.497,22.12,***,21.975,22.059,22.117,22.211,22.237,22.317,22.336,22.356,22.36,22.384,22.408,22.421,22.45,22.452,22.48,22.507,22.511,22.516,22.538,22.563,22.639,22.647,22.651,22.676,22.7,22.718,22.742,22.776,22.862,23.307
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyIndexedPool (C),accept,30,7.156,7.697,7.355,7.189,***,7.156,7.176,7.196,7.204,7.213,7.226,7.248,7.252,7.256,7.257,7.257,7.259,7.267,7.286,7.314,7.324,7.329,7.353,7.374,7.383,7.422,7.43,7.433,7.485,7.497,7.553,7.555,7.599,7.663,7.697
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyTableIndexedPool,accept,30,59.702,74.094,69.31,61.732,***,59.702,60.721,62.004,63.107,63.126,66.736,66.82,67.128,67.348,67.5,69.803,70.081,70.506,70.602,70.609,71.07,71.072,71.25,71.336,71.369,71.781,71.814,72.104,72.277,72.384,72.911,73,73.418,73.622,74.094
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyTableIndexedPool (C),accept,30,1.122,1.203,1.168,1.138,***,1.122,1.13,1.14,1.148,1.149,1.15,1.155,1.156,1.156,1.158,1.161,1.164,1.167,1.169,1.17,1.171,1.173,1.173,1.176,1.179,1.18,1.181,1.182,1.182,1.185,1.188,1.19,1.192,1.197,1.203
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyIndexedPool,accept,30,32.068,33.628,32.66,32.173,***,32.068,32.103,32.198,32.2,32.296,32.334,32.366,32.372,32.38,32.392,32.471,32.493,32.607,32.658,32.664,32.685,32.693,32.712,32.753,32.76,32.761,32.844,32.894,32.935,32.977,32.986,33.006,33.099,33.453,33.628
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyIndexedPool (C),accept,30,14.349,15.149,14.675,14.423,***,14.349,14.409,14.444,14.454,14.461,14.483,14.488,14.521,14.529,14.542,14.585,14.586,14.598,14.6,14.618,14.633,14.666,14.667,14.671,14.721,14.732,14.735,14.798,14.8,14.801,14.972,15.016,15.062,15.147,15.149
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyTableIndexedPool,accept,30,80.355,94.726,87.061,81.948,***,80.355,81.033,82.005,82.783,83.562,85.042,85.211,85.224,85.336,85.655,85.89,85.97,86.17,86.672,87.189,87.469,87.486,87.899,87.97,88.151,88.184,88.802,88.844,88.903,88.994,89.162,90.144,92.795,94.196,94.726
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyTableIndexedPool (C),accept,30,1.953,2.068,2.015,1.966,***,1.953,1.959,1.961,1.978,1.979,1.983,1.983,1.989,1.993,1.995,2.005,2.006,2.017,2.018,2.022,2.023,2.024,2.025,2.031,2.032,2.034,2.036,2.037,2.037,2.04,2.046,2.053,2.053,2.062,2.068
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyIndexedPool,accept,30,47.698,51.558,48.608,47.766,***,47.698,47.737,47.75,47.816,47.83,47.88,47.882,47.948,47.984,48.08,48.161,48.179,48.277,48.279,48.284,48.467,48.525,48.549,48.628,48.704,48.721,48.744,48.851,48.941,49.406,49.433,49.834,49.964,50.131,51.558
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyIndexedPool (C),accept,30,25.768,26.686,26.071,25.845,***,25.768,25.827,25.847,25.879,25.903,25.929,25.946,25.947,25.952,25.953,25.955,25.992,25.995,25.998,26.032,26.037,26.04,26.047,26.048,26.076,26.089,26.09,26.092,26.135,26.172,26.179,26.458,26.474,26.572,26.686
