tool,script,language,grammar,string,tokens,algorithm,result,Runs,TParseMin,TParseMax,TParseMean,TParseBestFiveMean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/Life.tok,1429,ARTEarleyTableIndexedPool,accept,30,25.228,33.225,28.506,25.96,***,25.228,25.508,25.737,26.463,26.863,27.063,27.139,27.295,27.614,27.788,27.846,28.034,28.06,28.157,28.24,28.472,28.714,28.793,28.804,28.838,28.94,29.144,29.42,29.644,29.964,30.142,30.392,31.478,32.162,33.225
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/Life.tok,1429,ARTEarleyTableIndexedPool (C),accept,30,10.388,11.276,10.878,10.619,***,10.388,10.652,10.683,10.686,10.687,10.739,10.77,10.806,10.831,10.851,10.855,10.869,10.889,10.889,10.89,10.907,10.907,10.924,10.932,10.946,10.95,10.951,10.953,10.958,10.983,11.007,11.028,11.042,11.083,11.276
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/earleyTableData/pascal.gtb,rhul/earleyTableData/treeview.tok,4425,BRNLGR (GTB with Pool),accept,30,12.834,13.215,13.022,12.893,***,12.834,12.89,12.896,12.92,12.925,12.928,12.96,12.994,12.994,12.996,13.012,13.014,13.018,13.018,13.019,13.021,13.029,13.032,13.043,13.044,13.054,13.055,13.068,13.082,13.082,13.113,13.114,13.136,13.156,13.215
art.jar,earleyIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/treeview.tok,4425,ARTEarleyIndexedPool,accept,30,56.669,69.069,63.721,58.708,***,56.669,57.515,58.39,60.394,60.57,60.856,61.423,61.737,61.978,62.15,62.473,63.226,63.412,63.749,63.787,63.848,63.875,64.18,64.246,64.74,65.415,65.755,66.009,67.22,67.368,67.433,67.515,68.142,68.499,69.069
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/treeview.tok,4425,ARTEarleyIndexedPool (C),accept,30,13.606,14.435,13.842,13.673,***,13.606,13.678,13.678,13.701,13.704,13.708,13.71,13.715,13.725,13.728,13.728,13.749,13.758,13.761,13.764,13.771,13.778,13.787,13.814,13.816,13.841,13.851,13.885,13.986,13.992,14.054,14.078,14.124,14.322,14.435
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/treeview.tok,4425,ARTEarleyTableIndexedPool,accept,30,35.667,50.297,42.293,37.562,***,35.667,37.653,37.999,38.073,38.417,38.513,39.198,39.629,39.636,40.308,40.633,40.924,41.353,41.773,42.444,42.626,43.071,43.969,44.032,44.045,44.179,44.745,44.876,45.479,45.538,45.713,45.796,45.832,46.382,50.297
art.jar,earleyTableIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/treeview.tok,4425,ARTEarleyTableIndexedPool (C),accept,30,12.708,13.453,13.129,12.79,***,12.708,12.743,12.775,12.858,12.865,12.944,12.968,12.976,12.98,12.997,13.036,13.052,13.086,13.093,13.094,13.123,13.132,13.178,13.195,13.225,13.306,13.309,13.342,13.369,13.396,13.401,13.405,13.409,13.441,13.453
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/earleyTableData/pascal.gtb,rhul/earleyTableData/view_ite.tok,4480,BRNLGR (GTB with Pool),accept,30,12.897,13.933,13.393,13.196,***,12.897,13.238,13.261,13.273,13.31,13.314,13.315,13.327,13.334,13.336,13.344,13.351,13.357,13.36,13.378,13.396,13.407,13.415,13.422,13.425,13.44,13.441,13.448,13.468,13.473,13.492,13.518,13.523,13.585,13.933
art.jar,earleyIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/view_ite.tok,4480,ARTEarleyIndexedPool,accept,30,59.374,71.694,65.865,61.095,***,59.374,60.884,61.142,61.182,62.892,63,63.115,63.462,63.633,63.682,63.753,63.775,64.402,64.604,65.522,65.542,66.57,66.665,67.04,67.614,67.827,68.846,69.017,69.048,69.231,69.545,70.487,71.169,71.229,71.694
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/view_ite.tok,4480,ARTEarleyIndexedPool (C),accept,30,13.82,14.618,14.184,13.982,***,13.82,13.975,14.026,14.039,14.048,14.068,14.08,14.084,14.087,14.09,14.1,14.102,14.103,14.104,14.111,14.156,14.176,14.176,14.182,14.197,14.219,14.226,14.251,14.309,14.361,14.398,14.417,14.457,14.544,14.618
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/view_ite.tok,4480,ARTEarleyTableIndexedPool,accept,30,35.701,46.415,41.208,37.029,***,35.701,36.952,37.21,37.255,38.026,38.077,38.153,38.253,38.526,38.85,38.885,39.393,39.501,40.059,40.16,40.418,41.119,42.008,42.082,42.915,44.109,44.167,44.551,44.92,45.29,45.498,45.867,45.883,45.998,46.415
art.jar,earleyTableIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/view_ite.tok,4480,ARTEarleyTableIndexedPool (C),accept,30,12.635,13.697,13.357,13.053,***,12.635,13.065,13.144,13.208,13.213,13.242,13.254,13.267,13.289,13.315,13.322,13.33,13.354,13.355,13.369,13.371,13.389,13.403,13.443,13.448,13.448,13.453,13.473,13.495,13.502,13.523,13.528,13.551,13.628,13.697
