 ,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TBest5Mean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyTableIndexedPoolV3.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyTableIndexedPool,accept,30,205.015,243.211,212.287,205.67,***,205.015,205.455,205.61,205.825,206.447,207.142,207.523,207.734,207.854,208.169,208.236,209.04,209.415,209.885,210.221,212.786,213.034,213.109,213.121,213.129,213.321,213.818,213.917,214.896,215.978,216.544,216.603,219.532,222.028,243.211
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableData/jls13EAS.art,rhul/earleyTableData/java3.tok,40311,ARTEarleyTableIndexedPool (C),accept,30,98.621,103.709,100.967,99.162,***,98.621,98.796,98.822,99.118,100.455,100.469,100.511,100.524,100.567,100.579,100.656,100.675,100.715,100.813,100.832,100.904,100.967,101.054,101.115,101.117,101.147,101.16,101.298,101.621,101.807,102.252,102.729,102.824,103.141,103.709
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/earleyTableData/pascal.gtb,rhul/earleyTableData/pascal1.tok,4425,BRNLGR (GTB with Pool),accept,30,12.404,13.198,12.85,12.476,***,12.404,12.434,12.461,12.509,12.57,12.601,12.659,12.7,12.724,12.728,12.807,12.831,12.88,12.885,12.891,12.895,12.903,12.929,12.983,12.988,12.993,13.002,13.011,13.028,13.05,13.055,13.058,13.152,13.169,13.198
art.jar,earleyIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal1.tok,4425,ARTEarleyIndexedPool,accept,30,60.572,68.312,65.25,61.9,***,60.572,61.364,62.166,62.228,63.171,63.885,64.132,64.607,64.647,64.786,64.827,64.859,65.002,65.198,65.304,65.491,65.519,65.61,65.667,65.795,65.797,66.92,67.072,67.247,67.35,67.355,67.371,67.531,67.728,68.312
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal1.tok,4425,ARTEarleyIndexedPool (C),accept,30,13.549,14.996,13.804,13.621,***,13.549,13.567,13.661,13.662,13.668,13.684,13.687,13.707,13.709,13.725,13.726,13.731,13.732,13.738,13.746,13.747,13.75,13.753,13.755,13.761,13.767,13.77,13.78,13.795,13.851,13.911,13.964,13.964,14.276,14.996
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal1.tok,4425,ARTEarleyTableIndexedPool,accept,30,38.356,56.289,46.233,39.479,***,38.356,39.324,39.716,39.993,40.004,40.69,41.097,41.275,41.42,41.569,41.891,45.711,46.279,46.39,46.942,46.962,47.09,47.382,47.659,47.806,48.404,48.755,49.091,49.744,50.558,51.61,54.159,55.41,55.418,56.289
art.jar,earleyTableIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal1.tok,4425,ARTEarleyTableIndexedPool (C),accept,30,12.364,13.029,12.672,12.439,***,12.364,12.371,12.438,12.497,12.526,12.562,12.571,12.586,12.597,12.602,12.614,12.65,12.653,12.653,12.654,12.658,12.663,12.668,12.675,12.694,12.725,12.766,12.805,12.812,12.812,12.818,12.863,12.919,12.92,13.029
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/earleyTableData/pascal.gtb,rhul/earleyTableData/pascal2.tok,4480,BRNLGR (GTB with Pool),accept,30,12.476,13.451,13.132,12.645,***,12.476,12.595,12.622,12.743,12.789,12.877,12.923,12.94,13.076,13.086,13.132,13.153,13.183,13.187,13.2,13.243,13.246,13.25,13.264,13.275,13.28,13.303,13.335,13.351,13.367,13.389,13.397,13.398,13.433,13.451
art.jar,earleyIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal2.tok,4480,ARTEarleyIndexedPool,accept,30,60.745,70.476,65.753,62.502,***,60.745,62.313,62.868,62.949,63.637,63.659,64.038,64.145,64.908,64.911,65.098,65.281,65.328,65.495,65.62,65.735,66.041,66.25,66.554,66.742,66.803,66.984,67.266,67.475,67.633,67.664,68.114,68.384,69.48,70.476
art.jar,earleyIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal2.tok,4480,ARTEarleyIndexedPool (C),accept,30,13.93,14.659,14.185,14,***,13.93,14.005,14.011,14.024,14.03,14.055,14.081,14.097,14.104,14.106,14.107,14.124,14.133,14.138,14.14,14.142,14.144,14.152,14.156,14.178,14.183,14.213,14.236,14.241,14.247,14.392,14.459,14.479,14.596,14.659
art.jar,earleyTableIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal2.tok,4480,ARTEarleyTableIndexedPool,accept,30,39.024,53.197,44.069,39.259,***,39.024,39.035,39.389,39.415,39.431,39.528,39.583,39.761,40.531,40.552,41.609,41.855,42.021,42.107,43.817,44.31,45.219,46.045,46.532,46.594,47.058,47.221,47.661,47.67,47.898,47.968,48.585,49.176,49.277,53.197
art.jar,earleyTableIndexedPoolV3_g++.bat,Pascal,iso_pascal_7185/earleyTableData/pascal.art,rhul/earleyTableData/pascal2.tok,4480,ARTEarleyTableIndexedPool (C),accept,30,12.312,13.427,12.733,12.4,***,12.312,12.34,12.435,12.449,12.465,12.482,12.536,12.565,12.572,12.647,12.683,12.698,12.702,12.71,12.729,12.732,12.749,12.755,12.776,12.815,12.829,12.831,12.886,12.95,12.969,12.976,12.977,12.981,13.007,13.427
