 ,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TBest5Mean,,Results...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyIndexedPool (C),accept,30,7.077,7.363,7.15,7.085,***,7.077,7.084,7.087,7.087,7.088,7.109,7.12,7.121,7.126,7.133,7.138,7.139,7.143,7.145,7.146,7.148,7.152,7.155,7.157,7.162,7.165,7.165,7.169,7.17,7.175,7.182,7.188,7.191,7.215,7.363
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyTableIndexedPool,accept,30,58.027,74.034,65.213,58.666,***,58.027,58.161,58.619,58.777,59.744,59.779,60.608,61.109,61.287,62.744,63.473,63.64,64.101,64.548,64.675,64.696,65.512,67.332,67.563,67.895,69.001,69.028,69.053,69.349,69.579,69.946,70.436,70.591,73.086,74.034
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.040,40,ARTEarleyTableIndexedPool (C),accept,30,1.087,1.194,1.118,1.093,***,1.087,1.09,1.092,1.097,1.098,1.098,1.1,1.101,1.101,1.102,1.102,1.104,1.107,1.108,1.109,1.109,1.109,1.114,1.115,1.115,1.12,1.127,1.129,1.131,1.136,1.144,1.155,1.161,1.181,1.194
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyIndexedPool,accept,30,31.665,33.829,32.325,31.798,***,31.665,31.667,31.702,31.918,32.038,32.042,32.047,32.073,32.081,32.116,32.151,32.155,32.172,32.265,32.294,32.297,32.33,32.331,32.352,32.404,32.422,32.432,32.531,32.572,32.609,32.621,32.746,32.933,32.947,33.829
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyIndexedPool (C),accept,30,14.259,15.335,14.484,14.333,***,14.259,14.344,14.344,14.36,14.36,14.365,14.37,14.388,14.391,14.409,14.444,14.453,14.456,14.457,14.465,14.467,14.469,14.48,14.484,14.487,14.496,14.502,14.503,14.503,14.521,14.561,14.573,14.62,14.66,15.335
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyTableIndexedPool,accept,30,76.478,92.405,85.118,79.294,***,76.478,78.988,79.951,79.991,81.061,82.389,82.901,83.012,83.234,83.603,83.706,84.008,84.024,84.173,84.44,84.931,85.221,86.094,86.218,86.585,87.049,87.651,87.78,87.908,88.044,89.417,89.582,91.054,91.629,92.405
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.050,50,ARTEarleyTableIndexedPool (C),accept,30,1.881,2.127,1.939,1.894,***,1.881,1.892,1.893,1.902,1.902,1.903,1.903,1.908,1.909,1.911,1.911,1.911,1.914,1.92,1.924,1.933,1.934,1.936,1.936,1.945,1.947,1.95,1.951,1.953,1.956,1.978,2.01,2.01,2.023,2.127
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyIndexedPool,accept,30,46.968,69.47,49.365,47.56,***,46.968,47.418,47.776,47.799,47.837,47.888,47.991,47.991,48.009,48.132,48.373,48.377,48.397,48.397,48.466,48.486,48.493,48.541,48.592,48.801,48.894,49.038,49.05,49.374,49.546,49.954,50.028,50.686,52.176,69.47
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyIndexedPool (C),accept,30,25.609,26.594,25.987,25.75,***,25.609,25.694,25.798,25.823,25.825,25.839,25.843,25.843,25.851,25.883,25.908,25.931,25.931,25.956,25.983,26.02,26.029,26.033,26.034,26.051,26.058,26.088,26.105,26.121,26.122,26.13,26.133,26.176,26.197,26.594
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyTableIndexedPool,accept,30,73.186,106.608,92.083,77.803,***,73.186,77.184,77.351,79.79,81.504,85.509,86.634,89.662,91.472,91.504,92.666,92.692,93.261,93.854,94.427,94.608,94.852,94.99,95.391,95.558,95.772,95.911,96.385,96.637,97.173,97.774,97.964,98.763,103.398,106.608
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.060,60,ARTEarleyTableIndexedPool (C),accept,30,3.011,3.297,3.072,3.021,***,3.011,3.019,3.021,3.026,3.028,3.029,3.031,3.034,3.034,3.035,3.035,3.039,3.045,3.046,3.054,3.055,3.06,3.061,3.063,3.063,3.067,3.067,3.07,3.084,3.094,3.119,3.133,3.222,3.223,3.297
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyIndexedPool,accept,30,70.371,78.52,73.295,70.988,***,70.371,70.663,71.156,71.274,71.475,71.562,71.608,71.646,71.788,71.855,71.985,72.091,72.147,72.378,72.803,72.882,72.996,73.249,73.672,73.979,74.044,74.116,74.172,75.127,75.74,75.789,75.934,76.646,77.18,78.52
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyIndexedPool (C),accept,30,43.086,44.306,43.448,43.144,***,43.086,43.141,43.145,43.167,43.183,43.198,43.23,43.249,43.263,43.278,43.288,43.298,43.3,43.355,43.39,43.395,43.42,43.471,43.485,43.506,43.526,43.536,43.59,43.613,43.638,43.799,43.821,43.859,43.908,44.306
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyTableIndexedPool,accept,30,63.502,73.875,68.238,64.286,***,63.502,63.526,64.535,64.613,65.253,65.355,65.495,66.028,66.193,67.072,67.202,67.665,67.691,67.77,68.047,68.192,68.267,68.27,68.42,68.64,69.708,69.881,70.327,71.376,71.549,71.709,71.907,71.995,73.08,73.875
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.070,70,ARTEarleyTableIndexedPool (C),accept,30,4.534,4.754,4.616,4.555,***,4.534,4.547,4.553,4.57,4.57,4.573,4.583,4.586,4.592,4.595,4.595,4.595,4.598,4.605,4.607,4.609,4.61,4.617,4.619,4.619,4.629,4.634,4.652,4.654,4.659,4.664,4.666,4.676,4.702,4.754
art.jar,earleyIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyIndexedPool,accept,30,99.706,109.921,105.372,102.947,***,99.706,103.024,103.966,104.005,104.034,104.079,104.392,104.505,104.59,104.613,104.769,104.779,104.816,104.992,105.224,105.409,105.688,106.025,106.028,106.091,106.139,106.164,106.185,106.197,106.672,106.742,106.849,107.43,108.126,109.921
art.jar,earleyIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyIndexedPool (C),accept,30,66.126,72.242,69.158,68.058,***,66.126,68.378,68.567,68.606,68.615,68.63,68.677,68.771,68.787,68.857,68.862,68.894,68.915,68.934,68.993,69.028,69.058,69.177,69.179,69.256,69.359,69.387,69.501,69.602,69.683,69.79,69.8,70.097,70.962,72.242
art.jar,earleyTableIndexedPoolV3.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyTableIndexedPool,accept,30,72.453,81.28,76.985,73.306,***,72.453,72.702,73.303,73.908,74.165,74.699,74.937,75.084,75.208,75.447,75.484,75.967,76.186,76.738,77.366,77.412,77.463,77.682,78.399,78.449,78.545,78.632,78.956,79.045,79.261,79.394,79.467,80.943,80.964,81.28
art.jar,earleyTableIndexedPoolV3_g++.bat,gamma3,rhul/earleyTableData/gamma3.art,rhul/earleyTableData/b.080,80,ARTEarleyTableIndexedPool (C),accept,30,6.489,6.941,6.621,6.53,***,6.489,6.526,6.532,6.549,6.553,6.556,6.56,6.562,6.567,6.57,6.57,6.578,6.58,6.583,6.618,6.618,6.621,6.628,6.64,6.644,6.647,6.648,6.653,6.658,6.671,6.673,6.689,6.689,6.822,6.941
