tool,script,language,grammar,string,tokens,algorithm,result,Runs,TMin,TMax,TMean,TStdev,TMedian,Outlier threshold,Dropped,TMeanAfterDrop,TStdedAfterDrop,TMeanQ123,TStdedQ123,Results...
art.jar,earleyTableIndexedPoolV3_g++.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java3.tok.reject,40311,ARTEarleyTableIndexedPool (C),reject,100,68.093,71.356,69.600, 0.642,69.612,70.439,8,70.242, 0.919,69.359, 0.480,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.gtb,rhul/earleyTableDataReject/pascal2.tok.reject,4480,BRNLGR (GTB with Pool),reject,100,5.927,7.302, 6.262, 0.204, 6.239, 6.755,3, 6.309, 0.177, 6.175, 0.111,***,
art.jar,earleyTableIndexedPoolV3.bat,COBOL,rhul/earleyTableDataReject/cob_rob.art,rhul/earleyTableDataReject/cobol1.tok.reject,2197,ARTEarleyTableIndexedPool,reject,100,18.022,30.011,23.444, 2.567,23.337,31.995,1,23.681, 2.591,22.365, 1.921,***,
art.jar,earleyIndexedPoolV3_g++.bat,COBOL,rhul/earleyTableDataReject/cob_rob.art,rhul/earleyTableDataReject/cobol1.tok.reject,2197,ARTEarleyIndexedPool (C),reject,100,4.977,5.66, 5.168, 0.130, 5.144, 5.475,3, 5.211, 0.124, 5.109, 0.066,***,
art.jar,earleyIndexedPoolV3_g++.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_simplelambda.tok.reject,18565,ARTEarleyIndexedPool (C),reject,100,84.305,99.27,91.833, 1.714,91.992,93.324,11,92.582, 1.807,91.352, 1.529,***,
art.jar,earleyIndexedPoolV3.bat,Java,jls13/earleyTableDataReject/jls13EAS.art,rhul/earleyTableDataReject/java1.tok.reject,1429,ARTEarleyIndexedPool,reject,100,35.012,51.971,40.087, 2.177,40.253,44.432,3,40.321, 1.799,39.279, 1.454,***,
art.jar,earleyTableIndexedPoolV3.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/_simplelambda.tok.reject,18565,ARTEarleyTableIndexedPool,reject,100,120.976,148.585,131.992, 5.014,131.978,142.847,3,133.046, 4.798,129.898, 3.495,***,
art.jar,earleyIndexedPoolV3.bat,SML,sml97/earleyTableDataReject/smlSLE25ET.art,MLWorks/earleyTableDataReject/lego_lex.tok.reject,3031,ARTEarleyIndexedPool,reject,100,37.934,46.961,41.668, 1.360,41.727,44.543,2,42.040, 1.334,41.130, 1.016,***,
art.jar,earleyIndexedPoolV3.bat,C,ansi_c/earleyTableDataReject/ansi_c.art,rhul/earleyTableDataReject/c3.tok.reject,36827,ARTEarleyIndexedPool,reject,100,347.795,647.835,475.289,76.316,499.642,738.262,1,480.090,76.857,445.012,61.795,***,
art.jar,earleyIndexedPoolV3.bat,Pascal,iso_pascal_7185/earleyTableDataReject/pascal.art,rhul/earleyTableDataReject/pascal1.tok.reject,4425,ARTEarleyIndexedPool,reject,100,32.78,42.623,37.984, 1.893,38.304,43.561,1,38.367, 1.941,37.257, 1.587,***,
gtb_mgw32_gcc_O3_pool.exe,brnglr_slr1.gtb,SML,sml97/earleyTableDataReject/smlSLE25ET.gtb,MLWorks/earleyTableDataReject/_yacc.tok.reject,5011,BRNLGR (GTB with Pool),reject,100,11.985,13.374,12.469, 0.215,12.474,12.920,4,12.580, 0.228,12.383, 0.153,***,
